,epoch,num_parameters,dim,rank,loss,accuracy,val_loss,val_accuracy
135,36,8070,10,-1,0.1905933916568756,0.9458666443824768,0.21839767694473267,0.9362999796867371
136,37,8070,10,-1,0.1889127641916275,0.9458000063896179,0.217940092086792,0.9372000098228455
137,38,8070,10,-1,0.18811015784740448,0.9462666511535645,0.21833398938179016,0.9350000023841858
138,39,8070,10,-1,0.18692567944526672,0.9464333057403564,0.21481147408485413,0.9366000294685364
139,40,8070,10,-1,0.18535208702087402,0.9471333622932434,0.2222481220960617,0.9351000189781189
140,41,8070,10,-1,0.1843528300523758,0.947700023651123,0.2291010022163391,0.9323999881744385
141,42,8070,10,-1,0.18346865475177765,0.9473833441734314,0.21575605869293213,0.9372000098228455
142,43,8070,10,-1,0.18240731954574585,0.9475499987602234,0.22194209694862366,0.9340999722480774
143,44,8070,10,-1,0.18156252801418304,0.9480500221252441,0.21278183162212372,0.9380999803543091
144,45,8070,10,-1,0.18066439032554626,0.9480166435241699,0.21360598504543304,0.9376999735832214
145,46,8070,10,-1,0.1797180473804474,0.9485166668891907,0.21597228944301605,0.9370999932289124
146,47,8070,10,-1,0.17877182364463806,0.9484166502952576,0.2191445529460907,0.9362999796867371
147,48,8070,10,-1,0.17822875082492828,0.948366641998291,0.21060210466384888,0.9383000135421753
148,49,8070,10,-1,0.177138090133667,0.9483833312988281,0.22153371572494507,0.9337000250816345
149,50,8070,10,-1,0.17612573504447937,0.949316680431366,0.2208516150712967,0.9351999759674072
150,1,4470,20,5,1.909664273262024,0.20391666889190674,1.7144503593444824,0.2565999925136566
151,2,4470,20,5,1.5418392419815063,0.36713331937789917,1.4320043325424194,0.43130001425743103
152,3,4470,20,5,1.3527030944824219,0.46506667137145996,1.2983146905899048,0.48010000586509705
153,4,4470,20,5,1.239540457725525,0.5194833278656006,1.1999422311782837,0.5303000211715698
154,5,4470,20,5,1.1599266529083252,0.5657166838645935,1.1452654600143433,0.5812000036239624
155,6,4470,20,5,1.0794497728347778,0.6047166585922241,1.0528862476348877,0.6269000172615051
156,7,4470,20,5,0.9952934384346008,0.6485499739646912,0.9621526598930359,0.6692000031471252
157,8,4470,20,5,0.9019104838371277,0.693316638469696,0.8789737224578857,0.7039999961853027
158,9,4470,20,5,0.8282487392425537,0.7250999808311462,0.8112480640411377,0.738099992275238
159,10,4470,20,5,0.7742777466773987,0.7477333545684814,0.7637816667556763,0.7580999732017517
160,11,4470,20,5,0.7295019626617432,0.7636333107948303,0.7236242890357971,0.7667999863624573
161,12,4470,20,5,0.670745849609375,0.7851499915122986,0.6385871171951294,0.7961999773979187
162,13,4470,20,5,0.5866870880126953,0.8175666928291321,0.5539311766624451,0.8294000029563904
163,14,4470,20,5,0.509641170501709,0.8447166681289673,0.48612040281295776,0.8547999858856201
164,15,4470,20,5,0.4580385386943817,0.8634166717529297,0.43496251106262207,0.8687000274658203
165,16,4470,20,5,0.42278578877449036,0.8748833537101746,0.4149719774723053,0.8756999969482422
166,17,4470,20,5,0.3975667953491211,0.8828333616256714,0.3888811469078064,0.8841000199317932
167,18,4470,20,5,0.3799402415752411,0.887499988079071,0.37497639656066895,0.8888999819755554
168,19,4470,20,5,0.36648061871528625,0.8918666839599609,0.3727782368659973,0.8873000144958496
169,20,4470,20,5,0.3554173707962036,0.8949166536331177,0.36141565442085266,0.8913000226020813
170,21,4470,20,5,0.34558820724487305,0.897433340549469,0.34363770484924316,0.8968999981880188
171,22,4470,20,5,0.33776694536209106,0.8997666835784912,0.34336382150650024,0.8967000246047974
172,23,4470,20,5,0.33067238330841064,0.9019500017166138,0.34140923619270325,0.8992999792098999
173,24,4470,20,5,0.32476091384887695,0.9043166637420654,0.32930704951286316,0.8995000123977661
174,25,4470,20,5,0.3185857832431793,0.9062666893005371,0.3374997079372406,0.8955000042915344
175,26,4470,20,5,0.3134036660194397,0.9078999757766724,0.32586729526519775,0.900600016117096
176,27,4470,20,5,0.309623658657074,0.9082833528518677,0.32260093092918396,0.9035000205039978
177,28,4470,20,5,0.30498045682907104,0.910099983215332,0.3152908384799957,0.9047999978065491
178,29,4470,20,5,0.3005930483341217,0.911133348941803,0.3193844258785248,0.9032999873161316
179,30,4470,20,5,0.29685133695602417,0.9117833375930786,0.3104856014251709,0.9061999917030334
180,31,4470,20,5,0.29356688261032104,0.9123333096504211,0.3034171760082245,0.910099983215332
181,32,4470,20,5,0.290343314409256,0.913016676902771,0.29995280504226685,0.9089000225067139
182,33,4470,20,5,0.28809821605682373,0.9137333035469055,0.2998524308204651,0.9103000164031982
183,34,4470,20,5,0.28546732664108276,0.9152166843414307,0.3094666302204132,0.906499981880188
184,35,4470,20,5,0.2834135890007019,0.9157500267028809,0.29170653223991394,0.9133999943733215
185,36,4470,20,5,0.28098800778388977,0.9161333441734314,0.2966049313545227,0.9132000207901001
186,37,4470,20,5,0.2790267765522003,0.9166666865348816,0.29231026768684387,0.9125999808311462
187,38,4470,20,5,0.2776985764503479,0.917033314704895,0.2953525185585022,0.9142000079154968
188,39,4470,20,5,0.2760550081729889,0.9179999828338623,0.2908514738082886,0.9129999876022339
189,40,4470,20,5,0.2739858031272888,0.9182000160217285,0.2943241000175476,0.9125999808311462
190,41,4470,20,5,0.2727055847644806,0.9181166887283325,0.28940680623054504,0.914900004863739
191,42,4470,20,5,0.27105972170829773,0.9199333190917969,0.28614380955696106,0.9165999889373779
192,43,4470,20,5,0.2695487439632416,0.9196500182151794,0.28625982999801636,0.9143000245094299
193,44,4470,20,5,0.2687428295612335,0.9196500182151794,0.2842288315296173,0.9147999882698059
194,45,4470,20,5,0.26751017570495605,0.9205833077430725,0.28752684593200684,0.9164000153541565
195,46,4470,20,5,0.26647284626960754,0.9207500219345093,0.29107117652893066,0.9132000207901001
196,47,4470,20,5,0.2649838924407959,0.9201833605766296,0.28883713483810425,0.9158999919891357
197,48,4470,20,5,0.2641027867794037,0.9211000204086304,0.2960721552371979,0.9125000238418579
198,49,4470,20,5,0.2630690336227417,0.9210333228111267,0.2969337999820709,0.911300003528595
199,50,4470,20,5,0.26245465874671936,0.9212833046913147,0.28930777311325073,0.9153000116348267
200,1,8690,20,10,1.76190185546875,0.2994833290576935,1.4545339345932007,0.4169999957084656
201,2,8690,20,10,1.1249723434448242,0.5734000205993652,0.9169664978981018,0.6766999959945679
202,3,8690,20,10,0.8318259119987488,0.7125833630561829,0.7811733484268188,0.7354000210762024
203,4,8690,20,10,0.7557855844497681,0.7437166571617126,0.7321213483810425,0.7530999779701233
204,5,8690,20,10,0.7210100293159485,0.7577333450317383,0.712868332862854,0.7634999752044678
205,6,8690,20,10,0.696753978729248,0.765916645526886,0.7177902460098267,0.7554000020027161
206,7,8690,20,10,0.672556459903717,0.7762166857719421,0.6726070046424866,0.7757999897003174
207,8,8690,20,10,0.6415911912918091,0.7894999980926514,0.6526306867599487,0.784500002861023
208,9,8690,20,10,0.605340301990509,0.8049833178520203,0.6085900664329529,0.8047999739646912
209,10,8690,20,10,0.5704798102378845,0.8201166391372681,0.5659854412078857,0.820900022983551
210,11,8690,20,10,0.5299594402313232,0.8350833058357239,0.5202445387840271,0.8395000100135803
211,12,8690,20,10,0.47946012020111084,0.8511666655540466,0.46772700548171997,0.8592000007629395
212,13,8690,20,10,0.43703925609588623,0.8651166558265686,0.43578124046325684,0.8690999746322632
213,14,8690,20,10,0.4089663028717041,0.8739333152770996,0.42496973276138306,0.8705999851226807
214,15,8690,20,10,0.39056122303009033,0.8798666596412659,0.411390095949173,0.8736000061035156
215,16,8690,20,10,0.37704065442085266,0.8845000267028809,0.39177799224853516,0.8784999847412109
216,17,8690,20,10,0.365384578704834,0.8879500031471252,0.37582430243492126,0.8847000002861023
217,18,8690,20,10,0.3557025194168091,0.8913833498954773,0.36603492498397827,0.8884000182151794
218,19,8690,20,10,0.34602075815200806,0.8930500149726868,0.36080148816108704,0.8884999752044678
219,20,8690,20,10,0.33499130606651306,0.8975499868392944,0.349999338388443,0.8921999931335449
220,21,8690,20,10,0.323528915643692,0.9003999829292297,0.332938015460968,0.8981999754905701
221,22,8690,20,10,0.3100265860557556,0.904699981212616,0.3142619729042053,0.9039999842643738
222,23,8690,20,10,0.293108195066452,0.9098333120346069,0.3081469237804413,0.9061999917030334
223,24,8690,20,10,0.2776423692703247,0.9155166745185852,0.2844025194644928,0.9146000146865845
224,25,8690,20,10,0.2645203769207001,0.9198499917984009,0.27721935510635376,0.9165999889373779
225,26,8690,20,10,0.2548760175704956,0.9227833151817322,0.267221599817276,0.9218000173568726
226,27,8690,20,10,0.24675096571445465,0.925000011920929,0.2565125823020935,0.92330002784729
227,28,8690,20,10,0.23935602605342865,0.9269499778747559,0.25515109300613403,0.9223999977111816
228,29,8690,20,10,0.23266129195690155,0.9294000267982483,0.24190443754196167,0.9279999732971191
229,30,8690,20,10,0.22653746604919434,0.930899977684021,0.23952826857566833,0.9293000102043152
230,31,8690,20,10,0.21978534758090973,0.932699978351593,0.23246049880981445,0.9316999912261963
231,32,8690,20,10,0.21419210731983185,0.9342166781425476,0.23013710975646973,0.932200014591217
232,33,8690,20,10,0.20828554034233093,0.9360166788101196,0.22343991696834564,0.9333000183105469
233,34,8690,20,10,0.20316040515899658,0.9383666515350342,0.2186853587627411,0.9362000226974487
234,35,8690,20,10,0.19859422743320465,0.9395666718482971,0.21861545741558075,0.9334999918937683
235,36,8690,20,10,0.19496555626392365,0.9404500126838684,0.2130400389432907,0.9366000294685364
236,37,8690,20,10,0.19060933589935303,0.9415500164031982,0.20939233899116516,0.9379000067710876
237,38,8690,20,10,0.18742550909519196,0.9432333111763,0.20994311571121216,0.9388999938964844
238,39,8690,20,10,0.1838013082742691,0.9443666934967041,0.20281840860843658,0.9394000172615051
239,40,8690,20,10,0.18233127892017365,0.9446166753768921,0.2037055343389511,0.9401999711990356
240,41,8690,20,10,0.17922167479991913,0.9451166391372681,0.20112258195877075,0.9412999749183655
241,42,8690,20,10,0.17647705972194672,0.9464333057403564,0.20181897282600403,0.9419999718666077
242,43,8690,20,10,0.17524777352809906,0.9472500085830688,0.20255640149116516,0.9415000081062317
243,44,8690,20,10,0.17270442843437195,0.9474499821662903,0.20305192470550537,0.9397000074386597
244,45,8690,20,10,0.17050892114639282,0.9479333162307739,0.2011418640613556,0.9413999915122986
245,46,8690,20,10,0.1679186075925827,0.9485833048820496,0.198562890291214,0.9419999718666077
246,47,8690,20,10,0.1653396189212799,0.9499833583831787,0.19697333872318268,0.9430999755859375
247,48,8690,20,10,0.16366101801395416,0.9503666758537292,0.19419877231121063,0.944599986076355
248,49,8690,20,10,0.1616603285074234,0.9509833455085754,0.19643554091453552,0.9440000057220459
249,50,8690,20,10,0.15914833545684814,0.9511833190917969,0.20329587161540985,0.9409999847412109
250,1,17130,20,20,1.3405568599700928,0.5207333564758301,0.9697011709213257,0.642300009727478
251,2,17130,20,20,0.8978840112686157,0.6828500032424927,0.8489412069320679,0.696399986743927
252,3,17130,20,20,0.7434881329536438,0.7574333548545837,0.5930484533309937,0.8205999732017517
253,4,17130,20,20,0.5554885268211365,0.8310166597366333,0.5240021347999573,0.8429999947547913
254,5,17130,20,20,0.48870381712913513,0.8533499836921692,0.49660980701446533,0.8500000238418579
255,6,17130,20,20,0.44896388053894043,0.8657666444778442,0.4761494994163513,0.8557000160217285
256,7,17130,20,20,0.420031875371933,0.8760333061218262,0.4122978150844574,0.8794000148773193
257,8,17130,20,20,0.39527738094329834,0.8823166489601135,0.3845537304878235,0.8888999819755554
258,9,17130,20,20,0.36933091282844543,0.89205002784729,0.37181800603866577,0.8898000121116638
259,10,17130,20,20,0.342415988445282,0.8991666436195374,0.3377745747566223,0.9027000069618225
260,11,17130,20,20,0.31657862663269043,0.9073833227157593,0.31923413276672363,0.9078999757766724
261,12,17130,20,20,0.29565584659576416,0.9128833413124084,0.32675421237945557,0.902400016784668
262,13,17130,20,20,0.2819884717464447,0.9169333577156067,0.28485289216041565,0.9169999957084656
263,14,17130,20,20,0.27124011516571045,0.9199166893959045,0.28186577558517456,0.9180999994277954
264,15,17130,20,20,0.2627274692058563,0.9217666387557983,0.30048099160194397,0.910099983215332
265,16,17130,20,20,0.2550446093082428,0.9242333173751831,0.2899859547615051,0.9125000238418579
266,17,17130,20,20,0.2472607046365738,0.927566647529602,0.2727155089378357,0.9212999939918518
267,18,17130,20,20,0.24014675617218018,0.9297999739646912,0.2747156620025635,0.9199000000953674
268,19,17130,20,20,0.23389612138271332,0.9310833215713501,0.25847476720809937,0.9240000247955322
269,20,17130,20,20,0.22724013030529022,0.9332333207130432,0.26297709345817566,0.92330002784729
270,21,17130,20,20,0.21892257034778595,0.9350833296775818,0.2595321834087372,0.9243999719619751
271,22,17130,20,20,0.21253149211406708,0.9369166493415833,0.24735331535339355,0.9282000064849854
272,23,17130,20,20,0.2052648365497589,0.9395666718482971,0.22798039019107819,0.9348000288009644
273,24,17130,20,20,0.19795356690883636,0.941516637802124,0.22957444190979004,0.934499979019165
274,25,17130,20,20,0.19105832278728485,0.9436833262443542,0.21556764841079712,0.9398000240325928
275,26,17130,20,20,0.1851360946893692,0.9449333548545837,0.21105720102787018,0.9429000020027161
276,27,17130,20,20,0.1800764501094818,0.9462000131607056,0.2175145298242569,0.9370999932289124
277,28,17130,20,20,0.1742965281009674,0.9480166435241699,0.19908927381038666,0.9433000087738037
278,29,17130,20,20,0.16934934258460999,0.949150025844574,0.20636655390262604,0.9416000247001648
279,30,17130,20,20,0.1651603728532791,0.9506333470344543,0.19229047000408173,0.9458000063896179
280,31,17130,20,20,0.16040228307247162,0.9519166946411133,0.20019493997097015,0.941100001335144
281,32,17130,20,20,0.15615451335906982,0.953499972820282,0.18450511991977692,0.9487000107765198
282,33,17130,20,20,0.15227854251861572,0.9546666741371155,0.19553837180137634,0.9434999823570251
283,34,17130,20,20,0.14784689247608185,0.9554499983787537,0.1848805695772171,0.9491999745368958
284,35,17130,20,20,0.14455316960811615,0.9562000036239624,0.17960146069526672,0.949400007724762
285,36,17130,20,20,0.14058050513267517,0.9574666619300842,0.1802568882703781,0.9485999941825867
286,37,17130,20,20,0.1366090178489685,0.9593166708946228,0.17633305490016937,0.949999988079071
287,38,17130,20,20,0.13412903249263763,0.9599166512489319,0.17549604177474976,0.9495999813079834
288,39,17130,20,20,0.13097859919071198,0.9607333540916443,0.1769176870584488,0.9491999745368958
289,40,17130,20,20,0.12731239199638367,0.961566686630249,0.1816624253988266,0.9456999897956848
290,41,17130,20,20,0.12443666160106659,0.9626166820526123,0.16410958766937256,0.9546999931335449
291,42,17130,20,20,0.12204563617706299,0.9637333154678345,0.1721673607826233,0.9503999948501587
292,43,17130,20,20,0.11921306699514389,0.9642833471298218,0.16133131086826324,0.9549999833106995
293,44,17130,20,20,0.11697163432836533,0.9657166600227356,0.16733892261981964,0.9531999826431274
294,45,17130,20,20,0.11407629400491714,0.9656500220298767,0.1614721119403839,0.9559000134468079
295,46,17130,20,20,0.11256683617830276,0.9664166569709778,0.17587116360664368,0.9478999972343445
