,epoch,rank1,rank2,acc,loss,val_acc,val_loss,layer_1_eff_rank,layer_3_eff_rank
48,48,10,10,0.5005199909210205,1.3939484357833862,0.4506999850273132,1.53400981426239,2.269987,2.0929687
49,49,10,10,0.4979999959468841,1.394923448562622,0.4755999743938446,1.4723365306854248,2.2698488,2.0966048
0,0,10,5,0.2208800017833709,2.0548367500305176,0.2724999785423279,1.95084547996521,2.1930747,1.4478832
1,1,10,5,0.2894400060176849,1.9093483686447144,0.3147999942302704,1.8792091608047483,2.186388,1.4749073
2,2,10,5,0.3341799974441528,1.820474624633789,0.3294000029563904,1.842961072921753,2.1995475,1.5011551
3,3,10,5,0.3601399958133697,1.756691813468933,0.3702999949455261,1.720856785774231,2.2140296,1.5167226
4,4,10,5,0.3762999773025512,1.7180194854736328,0.3783999979496002,1.7032581567764282,2.2233512,1.5233358
5,5,10,5,0.3870399892330169,1.687611699104309,0.4018999934196472,1.6702724695205688,2.233865,1.5311236
6,6,10,5,0.3942799866199493,1.664524793624878,0.398499995470047,1.665653109550476,2.2412152,1.543844
7,7,10,5,0.404259979724884,1.6449254751205444,0.4028999805450439,1.6499449014663696,2.2467296,1.543716
8,8,10,5,0.4100199937820434,1.6256121397018433,0.398499995470047,1.6572251319885254,2.2534165,1.5490327
9,9,10,5,0.4156199991703033,1.6108860969543457,0.410099983215332,1.625230312347412,2.2589452,1.5489516
10,10,10,5,0.4208999872207641,1.5941036939620972,0.4254999756813049,1.6113964319229126,2.2624922,1.551102
11,11,10,5,0.4279399812221527,1.5799267292022705,0.4341000020503998,1.5791230201721191,2.2636127,1.5546305
12,12,10,5,0.4328999817371368,1.568551778793335,0.4296999871730804,1.5805046558380127,2.2661364,1.557236
13,13,10,5,0.4359000027179718,1.55796480178833,0.4369999766349792,1.5598355531692505,2.265931,1.5570972
14,14,10,5,0.4425599873065948,1.5495949983596802,0.4332999885082245,1.576111078262329,2.2666297,1.556197
15,15,10,5,0.4442199766635895,1.5418133735656738,0.4414999783039093,1.556904911994934,2.2665892,1.5607277
16,16,10,5,0.4455599784851074,1.5338468551635742,0.4369999766349792,1.558858871459961,2.2665117,1.5621825
17,17,10,5,0.4467999935150146,1.5278843641281128,0.4350000023841858,1.5711923837661743,2.2663686,1.5629439
18,18,10,5,0.4481599926948547,1.5240122079849243,0.4305000007152557,1.5830878019332886,2.2660837,1.5621635
19,19,10,5,0.4524799883365631,1.5173897743225098,0.4452999830245971,1.5500134229660034,2.265853,1.5636486
20,20,10,5,0.4547999799251556,1.511044979095459,0.4447999894618988,1.5346759557724,2.266044,1.5644027
21,21,10,5,0.4550199806690216,1.5084619522094729,0.4192000031471252,1.6225184202194214,2.265575,1.5644666
22,22,10,5,0.4547799825668335,1.5030598640441897,0.4438000023365021,1.5540223121643066,2.265508,1.564061
23,23,10,5,0.4569199979305267,1.4994124174118042,0.4487999975681305,1.538588047027588,2.2655568,1.5654246
24,24,10,5,0.4589999914169311,1.4976457357406616,0.450899988412857,1.5288550853729248,2.2659187,1.5649263
25,25,10,5,0.4621999859809875,1.4917248487472534,0.4504999816417694,1.5293372869491575,2.2651944,1.5666939
26,26,10,5,0.464059978723526,1.4871399402618408,0.4422999918460846,1.5675508975982666,2.2651768,1.5667853
27,27,10,5,0.4654799997806549,1.4845590591430664,0.4478999972343445,1.548362374305725,2.2652712,1.5668218
28,28,10,5,0.466079980134964,1.480960249900818,0.4508000016212463,1.5279817581176758,2.2655787,1.5655321
29,29,10,5,0.4661999940872192,1.478252410888672,0.4400999844074249,1.579044222831726,2.2652118,1.5669427
30,30,10,5,0.4694199860095978,1.4764505624771118,0.449099987745285,1.5357084274291992,2.2655606,1.5696208
31,31,10,5,0.4691199958324432,1.4735363721847534,0.4382999837398529,1.5597692728042605,2.2661877,1.5711209
32,32,10,5,0.4680399894714355,1.4719268083572388,0.4408999979496002,1.576348900794983,2.2660584,1.570917
33,33,10,5,0.4700399935245514,1.4677493572235107,0.4423999786376953,1.5603632926940918,2.2670772,1.5712749
34,34,10,5,0.4718599915504455,1.4650521278381348,0.4625999927520752,1.504481077194214,2.267278,1.5734196
35,35,10,5,0.473360002040863,1.4643102884292605,0.4447000026702881,1.5624802112579346,2.2670672,1.5732137
36,36,10,5,0.4735399782657623,1.4617007970809937,0.4473999738693237,1.55166494846344,2.2668955,1.5741032
37,37,10,5,0.4746399819850921,1.4598045349121094,0.4476999938488006,1.5451841354370115,2.2669418,1.5765808
38,38,10,5,0.4728799760341644,1.4566606283187866,0.4447999894618988,1.5455565452575684,2.2675462,1.5750909
39,39,10,5,0.4749599993228912,1.4539674520492554,0.4467999935150146,1.5609432458877563,2.267338,1.5737938
40,40,10,5,0.476419985294342,1.451555609703064,0.4598999917507171,1.5119253396987915,2.267039,1.574656
41,41,10,5,0.4776999950408935,1.4489277601242063,0.4439999759197235,1.5633286237716677,2.2670827,1.5753105
42,42,10,5,0.4783399999141693,1.4458189010620115,0.4380999803543091,1.5527843236923218,2.267431,1.577987
43,43,10,5,0.4798199832439422,1.4451032876968384,0.4545999765396118,1.52331280708313,2.2674623,1.5763369
44,44,10,5,0.4809199869632721,1.441939353942871,0.4411999881267547,1.5542556047439575,2.2675312,1.5778623
45,45,10,5,0.4799599945545196,1.4424971342086792,0.4578000009059906,1.5188342332839966,2.268344,1.5775918
46,46,10,5,0.4808999896049499,1.4396562576293943,0.4415999948978424,1.5676209926605225,2.2684164,1.5785365
47,47,10,5,0.4789599776268005,1.4389317035675049,0.4477999806404114,1.558599591255188,2.2688031,1.5790831
